fecha,R1_pref90,R2_corp_cp,R3_ge_cp,R4_me_cp,R5_corp_lp,R6_ge_lp,R7_me_lp,R8_tamn,R9_ftamn,R10_ctacte,R11_ahorro,R12_dp30,R13_dp180,R14_dp360,R15_dpmas360,R16_tipmn,R17_ftipmn,RP_ref,R_interbank
2010m08,3.392,3.1296,4.4535,8.5609,4.9457,5.6032,9.7018,18.0813,20.0087,0.4579,0.5607,2.1606,2.2523,2.9114,5.4827,1.6216,1.7235,2.5,2.377
2010m09,3.813,3.4949,4.6873,8.305,5.0284,5.6693,10.3044,18.3447,21.592,0.4419,0.5553,2.4925,2.5008,3.1029,5.472,1.748,2.0433,3.0,2.741
2010m10,3.841,3.9907,5.5904,8.1025,4.9211,5.9991,10.3446,18.7145,22.1668,0.4773,0.556,2.453,2.7043,3.3383,5.4581,1.839,2.1348,3.0,2.945
2010m11,3.654,4.2994,5.8582,9.3492,4.9873,5.9127,10.966,18.718,22.434,0.491,0.569,2.1175,2.8149,3.6755,5.5171,1.842,1.948,3.0,2.974
2010m12,3.6292,4.392,5.7753,9.457,4.8913,5.928,11.0452,18.733,22.832,0.5556,0.5423,2.2326,2.8513,3.7814,5.593,1.802,1.771,3.0,2.9789
2011m01,3.8403,4.2868,5.7332,9.3317,4.9454,6.02,11.0384,18.679,22.635,0.4598,0.5646,2.5637,2.8558,3.9094,5.6033,1.865,1.953,3.25,3.2107
2011m02,4.1328,4.3495,5.8902,9.3815,5.0424,6.2564,11.0665,18.58,22.094,0.4525,0.5698,2.9253,2.9167,3.9903,5.6077,1.989,2.352,3.5,3.3868
2011m03,4.422,4.4409,5.9579,9.5719,5.1082,6.3896,11.1228,18.6542,22.6532,0.445,0.5559,3.108,3.0453,4.0049,5.6494,2.0394,2.5261,3.75,3.6787
2011m04,4.9028,4.8476,5.838,10.3304,4.871,6.6104,11.0941,18.512,21.879,0.4232,0.5534,3.5565,3.1634,4.0741,5.6507,2.0897,2.7493,4.0,3.9686
2011m05,5.3829,5.2458,6.2638,9.8606,5.2281,6.8119,11.2171,18.4926,21.8794,0.6283,0.5699,4.0428,3.4265,4.2484,5.6759,2.3042,3.179,4.25,4.2338
2011m06,5.6209,5.537,6.4838,9.8267,5.6517,6.8309,11.164,18.581,22.6883,0.6963,0.5036,4.255,3.63,4.336,5.688,2.477,3.606,4.25,4.277
2011m07,5.4194,5.8721,6.9035,9.9407,5.7583,6.8479,11.189,18.54,22.4197,0.6954,0.5095,4.201,3.8856,4.4588,5.7203,2.4761,3.5065,4.25,4.2598
2011m08,5.3906,5.7184,6.947,9.7034,5.8117,6.9264,10.793,18.659,22.3232,0.7324,0.5223,4.0845,4.2371,4.5585,5.8016,2.5197,3.3094,4.25,4.2298
2011m09,5.317,5.732,7.0004,9.8214,5.6974,7.1235,10.6967,18.717,22.6653,0.7211,0.6,4.057,4.2962,4.6244,5.8358,2.5533,3.349,4.25,4.272
2011m10,5.4037,5.7648,7.1576,9.8517,5.9596,7.189,10.9927,19.0103,21.8523,0.7431,0.6263,4.104,4.3018,4.6712,5.6968,2.5842,3.4329,4.25,4.2683
2011m11,5.1702,5.6803,7.1837,10.1468,6.1321,7.2608,11.0129,18.849,21.5413,0.7413,0.5862,3.9769,4.1816,4.6936,5.5993,2.5703,3.3596,4.25,4.2555
2011m12,5.3604,5.5701,7.1877,10.152,6.2547,7.2384,11.0092,18.861,21.3006,0.702,0.5558,3.8517,4.0552,4.7047,5.5784,2.4681,3.1913,4.25,4.2422
2012m01,5.2828,5.6998,7.035,10.2053,6.2731,7.2157,11.0053,19.0294,21.4068,0.6806,0.5708,3.7813,3.9987,4.7335,5.5435,2.4645,3.1161,4.25,4.2288
2012m02,5.3,5.6782,6.9498,10.2459,6.2167,7.2116,11.0085,18.7579,21.8829,0.6945,0.5748,3.714,3.9577,4.7071,5.5201,2.5004,3.1521,4.25,4.2284
2012m03,5.2513,5.6912,6.8857,10.6191,6.2988,7.2455,11.0935,19.0135,21.91,0.6614,0.5581,3.6987,3.9317,4.4711,5.4737,2.5203,3.159,4.25,4.25
2012m04,5.265,5.7401,6.8905,10.807,6.3377,7.2794,11.0813,19.2147,21.1703,0.5707,0.5666,3.6875,3.8983,4.4009,5.4949,2.4393,3.1553,4.25,4.241
2012m05,5.1938,5.6738,6.9575,10.7721,6.3426,7.3088,11.1047,19.341,21.6377,0.5541,0.5709,3.6606,3.8708,4.3462,5.5035,2.4561,3.1271,4.25,4.2429
2012m06,5.1563,5.7504,7.0749,10.8659,6.3251,7.3491,11.17,19.6167,22.2703,0.5578,0.6019,3.7447,3.8574,4.3146,5.4987,2.4757,3.172,4.25,4.231
2012m07,5.1698,5.7881,7.0799,10.7663,6.2954,7.3888,11.1959,19.469,21.8352,0.537,0.6704,3.8154,3.8828,4.2963,5.4914,2.4835,3.2735,4.25,4.2458
2012m08,5.1906,5.7565,7.0706,10.8248,6.2977,7.4012,11.2558,19.4068,21.7281,0.4957,0.5515,3.6792,3.8745,4.213,5.4783,2.4274,3.1842,4.25,4.2191
2012m09,5.1102,5.6653,7.1617,10.7545,6.2907,7.3997,11.2407,19.3003,22.38,0.5254,0.5585,3.6009,3.8383,4.2113,5.4719,2.4527,3.1067,4.25,4.234
2012m10,5.0611,5.6432,7.2817,10.8065,6.2309,7.3673,11.2823,19.3323,23.059,0.5117,0.6293,3.6059,3.8276,4.1769,5.5131,2.4474,3.0981,4.25,4.2392
2012m11,5.0593,5.5912,7.4443,10.7473,6.2927,7.3619,11.2895,19.2763,22.9937,0.5485,0.5687,3.6397,3.8095,4.181,5.5047,2.4423,3.0953,4.25,4.2479
2012m12,5.0304,5.5198,7.441,10.7463,6.4245,7.4078,11.3516,19.085,22.8843,0.5156,0.5527,3.607,3.7879,4.1843,5.5057,2.37,2.9983,4.25,4.2439
2013m01,5.0298,5.583,7.4071,10.8713,6.3997,7.4214,11.4066,19.4116,23.1887,0.5318,0.5251,3.4537,3.7729,4.1648,5.4643,2.3774,2.8816,4.25,4.1518
2013m02,4.8751,5.5615,7.4148,10.6116,6.455,7.376,11.4838,19.27,23.1257,0.6171,0.5222,3.1617,3.668,4.1312,5.4014,2.3671,2.7882,4.25,4.2008
2013m03,4.6881,5.4048,7.3435,10.5138,6.556,7.3994,11.4476,19.0781,22.4132,0.5139,0.5523,3.1098,3.6156,4.0941,5.3582,2.2871,2.589,4.25,4.2404
2013m04,4.4482,5.3216,7.2068,10.5917,6.4536,7.3932,11.2676,19.0897,22.0,0.5448,0.5873,3.1029,3.5363,4.0255,5.3094,2.309,2.5603,4.25,4.2005
2013m05,4.3607,5.1844,7.1486,10.5455,6.4072,7.3211,11.2683,18.9452,22.0397,0.5342,0.5191,3.2221,3.4498,3.9489,5.2745,2.3039,2.6642,4.25,4.2542
2013m06,4.4862,5.2571,7.0132,10.583,6.3568,7.354,11.2452,18.8077,22.5683,0.5165,0.5152,3.3255,3.4133,3.8918,5.242,2.3187,2.8277,4.25,4.2605
2013m07,4.7471,5.2742,6.8058,10.4907,6.2666,7.3603,11.2145,18.4748,21.1474,0.5184,0.5426,3.5571,3.4239,3.858,5.2401,2.3271,2.9348,4.25,4.3269
2013m08,4.6554,5.1468,6.8787,10.5638,6.189,7.2798,11.1764,18.1187,21.3977,0.4571,0.5007,3.6014,3.4345,3.8432,5.2287,2.3158,3.03,4.25,4.5161
2013m09,4.7181,5.2406,6.8185,10.4557,6.1438,7.2528,11.0925,17.5843,21.0067,0.519,0.5474,3.7496,3.4615,3.8338,5.2589,2.3467,3.1167,4.25,4.2737
2013m10,4.7076,5.274,6.8062,10.3605,6.11,7.2545,11.0264,16.6471,21.3887,0.4588,0.5024,3.6553,3.5043,3.8506,5.2592,2.3432,3.1294,4.25,4.2484
2013m11,4.5043,5.3191,6.7621,10.3394,6.1118,7.2481,10.9852,16.3673,21.471,0.4571,0.508,3.5331,3.5297,3.855,5.2772,2.3327,2.9973,4.0,4.183
2013m12,4.4875,5.2442,6.7164,10.4773,6.077,7.26,10.9222,15.8765,20.0561,0.4707,0.497,3.759,3.5241,3.861,5.2701,2.2697,2.9919,4.0,4.0884
2014m01,4.4809,5.2117,6.7279,10.4952,6.1351,7.2687,10.8577,15.9881,21.3671,0.423,0.4763,3.9131,3.5189,3.8685,5.2428,2.2552,3.0123,4.0,4.121
2014m02,4.7948,5.2555,6.7526,10.3417,6.171,7.2493,10.8294,15.8071,21.5646,0.4205,0.4738,4.0018,3.5521,3.8862,5.2146,2.2636,3.0089,4.0,4.1738
2014m03,4.9354,5.3324,6.6556,10.2271,6.3072,7.0131,10.7516,15.6132,21.1752,0.4463,0.4646,4.0569,3.6558,3.9152,5.1918,2.2732,2.9613,4.0,4.0133
2014m04,5.0225,5.383,6.6929,9.961,6.3047,6.9635,10.5251,15.5293,20.553,0.3907,0.455,3.9546,3.8144,4.0406,5.2266,2.2957,3.1987,4.0,4.0539
2014m05,5.0269,5.35,6.7902,10.0059,6.2833,6.9932,10.6582,15.6132,21.73,0.4425,0.4649,3.8,3.9662,4.1303,5.2471,2.3419,3.1552,4.0,3.954
2014m06,4.9535,5.3929,6.7911,9.9344,6.2857,7.0924,10.5703,16.0437,22.9203,0.4813,0.4899,3.7197,4.0291,4.1858,5.2434,2.403,2.952,4.0,3.9999
2014m07,4.7393,5.3678,6.7794,9.5084,6.3994,7.0498,10.3664,15.9294,21.4935,0.4267,0.5004,3.6734,4.065,4.2172,5.2245,2.3829,2.9361,3.75,3.8491
