fecha,R1_pref90,R2_corp_cp,R3_ge_cp,R4_me_cp,R5_corp_lp,R6_ge_lp,R7_me_lp,R8_tamn,R9_ftamn,RP_ref
2010m08,3.392,3.1296,4.4535,8.5609,4.9457,5.6032,9.7018,18.0813,20.0087,2.5
2010m09,3.813,3.4949,4.6873,8.305,5.0284,5.6693,10.3044,18.3447,21.592,3.0
2010m10,3.841,3.9907,5.5904,8.1025,4.9211,5.9991,10.3446,18.7145,22.1668,3.0
2010m11,3.654,4.2994,5.8582,9.3492,4.9873,5.9127,10.966,18.718,22.434,3.0
2010m12,3.6292,4.392,5.7753,9.457,4.8913,5.928,11.0452,18.733,22.832,3.0
2011m01,3.8403,4.2868,5.7332,9.3317,4.9454,6.02,11.0384,18.679,22.635,3.25
2011m02,4.1328,4.3495,5.8902,9.3815,5.0424,6.2564,11.0665,18.58,22.094,3.5
2011m03,4.422,4.4409,5.9579,9.5719,5.1082,6.3896,11.1228,18.6542,22.6532,3.75
2011m04,4.9028,4.8476,5.838,10.3304,4.871,6.6104,11.0941,18.512,21.879,4.0
2011m05,5.3829,5.2458,6.2638,9.8606,5.2281,6.8119,11.2171,18.4926,21.8794,4.25
2011m06,5.6209,5.537,6.4838,9.8267,5.6517,6.8309,11.164,18.581,22.6883,4.25
2011m07,5.4194,5.8721,6.9035,9.9407,5.7583,6.8479,11.189,18.54,22.4197,4.25
2011m08,5.3906,5.7184,6.947,9.7034,5.8117,6.9264,10.793,18.659,22.3232,4.25
2011m09,5.317,5.732,7.0004,9.8214,5.6974,7.1235,10.6967,18.717,22.6653,4.25
2011m10,5.4037,5.7648,7.1576,9.8517,5.9596,7.189,10.9927,19.0103,21.8523,4.25
2011m11,5.1702,5.6803,7.1837,10.1468,6.1321,7.2608,11.0129,18.849,21.5413,4.25
2011m12,5.3604,5.5701,7.1877,10.152,6.2547,7.2384,11.0092,18.861,21.3006,4.25
2012m01,5.2828,5.6998,7.035,10.2053,6.2731,7.2157,11.0053,19.0294,21.4068,4.25
2012m02,5.3,5.6782,6.9498,10.2459,6.2167,7.2116,11.0085,18.7579,21.8829,4.25
2012m03,5.2513,5.6912,6.8857,10.6191,6.2988,7.2455,11.0935,19.0135,21.91,4.25
2012m04,5.265,5.7401,6.8905,10.807,6.3377,7.2794,11.0813,19.2147,21.1703,4.25
2012m05,5.1938,5.6738,6.9575,10.7721,6.3426,7.3088,11.1047,19.341,21.6377,4.25
2012m06,5.1563,5.7504,7.0749,10.8659,6.3251,7.3491,11.17,19.6167,22.2703,4.25
2012m07,5.1698,5.7881,7.0799,10.7663,6.2954,7.3888,11.1959,19.469,21.8352,4.25
2012m08,5.1906,5.7565,7.0706,10.8248,6.2977,7.4012,11.2558,19.4068,21.7281,4.25
2012m09,5.1102,5.6653,7.1617,10.7545,6.2907,7.3997,11.2407,19.3003,22.38,4.25
2012m10,5.0611,5.6432,7.2817,10.8065,6.2309,7.3673,11.2823,19.3323,23.059,4.25
2012m11,5.0593,5.5912,7.4443,10.7473,6.2927,7.3619,11.2895,19.2763,22.9937,4.25
2012m12,5.0304,5.5198,7.441,10.7463,6.4245,7.4078,11.3516,19.085,22.8843,4.25
2013m01,5.0298,5.583,7.4071,10.8713,6.3997,7.4214,11.4066,19.4116,23.1887,4.25
2013m02,4.8751,5.5615,7.4148,10.6116,6.455,7.376,11.4838,19.27,23.1257,4.25
